ident	id	idAuthor	target	idDate	targetDate
375855	Modern chivalry	H. H Brackenridge	Horace	1825	-8
376395	Calavar	Robert Montgomery Bird	Garcilaso de la Vega	1834	1536
376396	The hawks of hawk-hollow	Robert Montgomery Bird	William Shakespeare	1835	1616
376409	The infidel	Robert Montgomery Bird	Bernal Diaz del Castillo	1835	1584
376580	The infidel	Robert Montgomery Bird	Bernal Diaz del Castillo	1835	1584
376602	Blackbeard	null	Edmund Spencer	1835	1599
376702	Peter Pilgrim	Robert Montgomery Bird	Robert Burton	1838	1640
376788	The adventures of Robin Day	Robert Montgomery Bird	William Shakespeare	1839	1616
3767898	The witch of New England	John C M\Call	Thomas Middleton	1824	1627
3768559	Works of Dr. William Wagstaffe	William Wagstaffe	John Wilson	1726	1696
3769976	Little truths better than great fables	William Darton	Vicesimus Knox	1800	5000
377362	Modern chivalry	H. H Brackenridge	Horace	1808	-8
377404	The hawks of Hawk-Hollow	Robert Montgomery Bird	William Shakespeare	1835	1616
377553	The missionary convention at Jerusalem	David Abeel	John Bunyan	1838	1688
377728	Adsonville	Edward Hull	George Gordon Byron Baron Byron	1824	5000
377845	Lorette	George Bourne	James Montgomery	1833	5000
378758	A journal, of a young man of Massachusetts	Benjamin Waterhouse	William Shakespeare	1816	1616
378774	The hermit in America on a visit to Philadelphia	Robert Waln	William Shakespeare	1819	1616
378959	The sketch book of Geoffrey Crayon	Washington Irving	Hue and Cry after Christmas	1819	5000
379016	Tales of a traveller	Washington Irving	Christopher Marlowe	1824	1593
379041	Pencil sketches	Eliza Leslie	William Shakespeare	1833	1616
379054	Thirty years ago	William Dunlap	William Shakespeare	1836	1616
379124	The sketch book of Geoffrey Crayon	Washington Irving	Robert Burton	1824	1640
379125	Thirty years ago	William Dunlap	William Shakespeare	1836	1616
379150	The spy	James Fenimore Cooper	Walter Sir Scott	1824	5000
379157	Modern chivalry	H. H Brackenridge	Horace	1825	-8
379195	Outre-mer	Henry Wadsworth Longfellow	Martial DAuvergne	1835	1508
379297	Pioneers	James Fenimore Cooper	James Kirke Paulding	1825	5000
379658	The bene	Alexander Bicknell	Terence	1775	159
379836	Modern chivalry	H. H Brackenridge	Horace	1804	-8
380155	The unfortunate dutchess	null	Nicholas Rowe	1739	1718
380167	Ellen Parry	Emily Edson Olivia Briggs	Samuel Rogers	1850	5000
380526	Plays prose and poetry	Charlotte Mary Sanford Barnes	Lord Henry Home Kames	1848	5000
380529	The court-secret	George Lyttelton Lyttelton	Philip Massinger	1741	1640
380625	4th	J. A. B	Mrs. Howson	1850	5000
380846	A romance of the sea-serpent	Eugene Batchelder	William Shakespeare	1850	1616
380966	The history of Eliza Warwick	null	William Shakespeare	    	1616
381001	The history of Eliza Warwick	null	William Shakespeare	1778	1616
381052	The bene	Alexander Bicknell	Terence	1775	159
381054	The history of Lady Anne Neville	null	Lucius Annaeus Seneca	1775	65
3887499	The unnatural mother	null	George Granville Baron Lansdowne	1734	5000
