id	idAuthor	target	idDate	targetDate
The hermit in America on a visit to Philadelphia	Robert Waln	Alexander Pope	1819	1744
The sketch book of Geoffrey Crayon	Washington Irving	Hue and Cry after Christmas.	1819	5000
Tales of a traveller	Washington Irving	Christopher Marlowe	1824	1593
Pencil sketches	Eliza Leslie	Maria Edgeworth	1833	5000
Thirty years ago	William Dunlap	William Shakespeare	1836	1616
The sketch book of Geoffrey Crayon, gent	Washington Irving	Robert Burton	1824	1640
Thirty years ago	William Dunlap	William Shakespeare	1836	1616
The spy	James Fenimore Cooper	Walter Sir Scott	1824	5000
Modern chivalry	H. H Brackenridge	Horace	1825	-8
Outre-mer	Henry Wadsworth Longfellow	Martial DAuvergne	1835	1508
Pioneers	James Fenimore Cooper	Hannay	1825	5000
The bene	Alexander Bicknell	William Legge Earl of Dartmouth	1775	5000
Modern chivalry	H. H Brackenridge	Horace	1804	-8
The unfortunate dutchess	null	T. Read	1739	5000
Ellen Parry	Briggs, Emily Edson Olivia	Samuel Rogers	1850	5000
Plays prose and poetry	Charlotte Mary Sanford Barnes	Lord Henry Home Kames	1848	5000
The court-secret	George Lyttelton Lyttelton	Philip Massinger	1741	1640
4th	J. A. B.	Mrs. Howson	1850	5000
Fourth edition. Price 25 cents	Eugene Batchelder	John Bartlett	1850	5000
The history of Eliza Warwick. In two	null	William Shakespeare		1616
The history of Eliza Warwick. In two	null	William Shakespeare	1778	1616
The bene	Alexander Bicknell	William Legge Earl of Dartmouth	1775	5000
The history of Lady Anne Neville	null	Lucius Annaeus Seneca	1775	5000
The unnatural mother	null	George Granville Baron Lansdowne	1734	5000
The novelist's magazine	Henry Fielding	Harrison	1780	5000
The novelist's magazine	John Langhorne	Harrison	1780	5000
The novelist's magazine	Tobias George Smollett	Harrison	1780	5000
The novelist's magazine	Voltaire	Harrison	1780	5000
The novelist's magazine	Henry Fielding	Harrison	1780	5000
Letters from a Persian in England	George Lyttelton Lyttelton	Lucretius	1735	-55
Letters from the living to the living	null	Juvenal	1703	0130
The Works of Henry Fielding, Esq	Henry Fielding	Juvenal	1814	0130
The Works of Henry Fielding, Esq	Henry Fielding	Ovid	1814	18
The Works of Henry Fielding, Esq	Henry Fielding	Virgil	1814	-19
The Works of Henry Fielding, Esq	Henry Fielding	Cicero	1816	-43
Monimia	null	Thomas Otway	1791	1685
Stellins	null	William Lane	1793	5000
The lady's miscellany	null	M. Brown	1760	5000
The new novelist	null	John, Gay	1795	1732
Love in excess	Eliza Fowler Haywood	W. R. Chetwood	1721	5000
The history of Charlotte Villars	Isaac Mukins	Horace	1756	-8
The woman of honor.  In three	John Cleland	Francis Bacon	1768	1626
The adventures of a hackney coach	null	William Shakespeare	1781	1616
The frolics of fancy, a familiar epistle	Rowley Thomas	Hor.	1785	5000
Euphrosyne	Richard Graves	Ovid	1776	18
Canterbury tales for the year 1797	Harriet Lee	William Cowper	1797	4
The reverie	Charles Johnstone	John Pickmere	1763	5000
The adventures of Peregrine Pickle	Tobias George Smollett	Horace	1751	-8
Hermsprong	Robert Bage	Cicero	1796	-43
Amelia	Henry Fielding	Horace	1752	-8
Memoirs of the year two thousand five hundred	Louis-Sebastien Mercier	Gottfried Wilhelm Leibniz	1795	1716
Moral and political dialogues	Richard Hurd	John Woodyer	1759	5000
The Irish emigrant	null	Irish Eloquence Niles Weekly Register	1817	5000
Jemima and Louisa	Lady	Owen	1759	5000
The history of Pompey the Little	Francis Coventry	Francis Coventry	1751	5000
The history of Pompey the Little	Francis Coventry	Thomas Moore	1751	1535
The history of Pompey the Little	Francis Coventry	Horace	1751	-8
The fortunate country maid	Charles de Fieux Mouhy	Charles Corbett	1758	5000
The life and memoirs of Mr. Ephraim Tristram	null	Horace	1756	-8
The life and memoirs of Mr. Ephraim Tristram	null	Horace	1756	-8
The life and memoirs of Mr. Ephraim Tristram	null	Horace	1756	-8
The cry	Sarah Fielding	Marco Valerio Marziale	1754	5000
The juvenile adventures of David Ranger	Edward Kimber	William Shakespeare	1752	1616
The devil upon crutches in England. or	Gentleman of Oxford	Juvenal	1759	0130
The dreamer	William King	Virgil	1754	-19
The Dreamer	William King	Virgil	1754	-19
The fortunate villager	Adolphus Bannac	Horace	1750	-8
The anti-Gallican, or	Edward Long	Arthur Murphy	1757	5000
The history of Henry Dumont, Esq	Charlotte Charke	Joseph Addison	1756	1719
The life, misfortunes and adventures of Indiana	Pierre Carlet de Chamblain de Marivaux	William Shakespeare	1755	1616
The adventures of Jerry Buck	John Slade	Horace	1754	-8
The adventures of Jerry Buck	John Slade	Horace	1754	-8
The adventures of Jerry Buck	John Slade	Horace	1754	-8
The life of John Buncle, esq	Thomas Amory	Gaius Volusenus	1756	5000
The history of Miss Katty N	null	Nicholas Rowe		1718
The memoirs of a young lady of quality	null	Alexander Pope	1756	1744
The memoirs of a young lady of quality	null	Alexander Pope	1756	1744
Lydia	John Shebbeare	Lucius Annaeus Seneca	1755	5000
Lydia	John Shebbeare	J. Scott	1755	5000
The fortunate country maid	Charles de Fieux Mouhy	William Congreve	1758	1729
The marriage act	John Shebbeare	Ovid	1754	18
The history of the life and adventures of	Edward Kimber	Joseph Addison	1754	1719
Memoirs of an Oxford scholar	null	Alexander Pope	1756	1744
The History of Polly Willis, an orphan	null	Edmund Waller	1755	1687
The history of Pudica, a lady of N-rf-lk	Richard Gardiner	Mary Cooper	1754	5000
The theatre of love	null	Ambrose Philips	1759	1749
