id	title	author	date	epigraph_author	d	4	5
341597	"Original love-letters, between a lady of quality and a person of inferior station. Vol. I."	"Combe, William"	1784	"['Addison, Joseph']"	['1672-1719']	['Author (epigraph)']	['Authorized']
341601	"The paths of virtue delineated; or, the history in miniature of the celebrated Pamela, Clarissa Harlowe, and Sir Charles Grandison. [epigraph]. The second edition."		1773	"['Congreve, William']"	['1670-1729']	['Author (epigraph)']	['Authorized']
341606	"The shipwreck and adventures of Monsieur Pierre Viaud, a native of Bourdeaux, and captain of a ship. Translated from the French, by Mrs. Griffith."	"Dubois-Fontanelle, Jean Gaspard"	1771	['Virgil']		['Author (epigraph)']	['Authorized']
341608	"The placid man: Or, memoirs of Sir Charles Beville. In two volumes. Vol. I."	"Jenner, Charles"	1770	['Terence']		['Author (epigraph)']	['Authorized']
341610	"The placid man: or, memoirs of Sir Charles Beville. The second edition, with additions. By Charles Jenner, M. A. In two volumes. Vol. I."	"Jenner, Charles"	1773	['Terence']		['Author (epigraph)']	['Authorized']
341614	"The pupil of pleasure: or, the new system illustrated. Inscribed to Mrs. Eugenia Stanhope, editor of Lord Chesterfield's Letters. By Courtney Melmoth. [Epigraph] Vol. I."	Pratt	1776	['Livy']		['Author (epigraph)']	['Authorized']
341618	"The recess; or, a tale of other times. By the author of The chapter of accidents."	"Lee, Sophia"	1783	"['Shakespeare, William']"	['1564-1616']	['Author (epigraph)']	['Authorized']
341624	"The reverie; or, a flight to the paradise of fools. By the editor of The adventures of a guinea. In two volumes. The third edition."	"Johnstone, Charles"	1776	"['Milton, John']"	['1608-1674']	['Author (epigraph)']	['Authorized']
341628	"The royal adventurers; or, the conflict of love. A novel."		1773	"['Dodsley, Robert']"	['1703-1764']	['Author (epigraph)']	['Authorized']
341640	"Shenstone-Green; or, the new Paradise lost. Being a history of human nature. In three volumes. Vol. I. Written by the proprietor of the Green, and published by the author of liberal opinions. The second edition."	Pratt	1780	"['Shenstone, William']"	['1714-1763']	['Author (epigraph)']	['Authorized']
